app_id,review_date,review_title,user_role_title,company_industry,company_size,score
1,"<div class=""review-date"">August 29, 2020</div>","['Great HCM for organziations of all sizes. Great service, Great results!']","<div class=""position"">Director, HR Technology</div>","<span class=""industry-type"">Consumer Goods</span>","<span class=""size"">5001-10,000 employees</span>",9
2,"<div class=""review-date"">October 09, 2020</div>",['Dayforce saves time!'],"<div class=""position"">Office Manager, Bookkeeping &amp; Marketing</div>","<span class=""industry-type"">Information Technology &amp; Services</span>","<span class=""size"">11-50 employees</span>",10
3,"<div class=""review-date"">July 13, 2020</div>",['Ceridian Dayforce for Tech Unicorn'],"<div class=""position"">HRIS Administrator</div>","<span class=""industry-type"">Information Technology &amp; Services</span>","<span class=""size"">501-1000 employees</span>",7
4,"<div class=""review-date"">October 19, 2020</div>",['Ceridian Dayforce for the win!'],"<div class=""position"">Manager in Finance and Accounting</div>","<span class=""industry-type"">Utilities<span> Company</span></span>","<span class=""size"">501-1000 employees</span>",9
5,"<div class=""review-date"">August 20, 2020</div>",['Highly Efficient!'],"<div class=""position"">Administrator in Finance and Accounting</div>","<span class=""industry-type"">Transportation/Trucking/Railroad<span> Company</span></span>","<span class=""size"">51-200 employees</span>",10
6,"<div class=""review-date"">May 28, 2020</div>",['Dayforce and HR'],"<div class=""position"">Manager in Human Resources</div>","<span class=""industry-type"">Mechanical Or Industrial Engineering<span> Company</span></span>","<span class=""size"">501-1000 employees</span>",10
7,"<div class=""review-date"">April 22, 2020</div>",['Ceridian Dayforce Experience 2020'],"<div class=""position"">Human Resources Generalist</div>","<span class=""industry-type"">Chemicals</span>","<span class=""size"">201-500 employees</span>",7
8,"<div class=""review-date"">February 13, 2020</div>","['Accuracy, Efficiency, and Engagement']","<div class=""position"">VP of Human Resources</div>","<span class=""industry-type"">Food Production</span>","<span class=""size"">201-500 employees</span>",10
9,"<div class=""review-date"">March 06, 2020</div>",['Ceridian YAY-force!'],"<div class=""position"">HRIS/Talent Management</div>","<span class=""industry-type"">Retail</span>","<span class=""size"">1001-5000 employees</span>",10
10,"<div class=""review-date"">October 29, 2019</div>",['Dayforce pulls all the HR functions together in one place'],"<div class=""position"">HR Manager</div>","<span class=""industry-type"">Civil Engineering</span>","<span class=""size"">501-1000 employees</span>",9
11,"<div class=""review-date"">October 29, 2019</div>",['Dayforce - Changing the Way We Work.'],"<div class=""position"">HR Manager</div>","<span class=""industry-type"">Mining &amp; Metals</span>","<span class=""size"">501-1000 employees</span>",7
